searchDate,flightDate,startingAirport,destinationAirport,isBasicEconomy,isRefundable,isNonStop,totalFare
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,305.61
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,311.58
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,311.58
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,407.6
16/04/22,17/04/22,ATL,DEN,FALSE,FALSE,FALSE,554.01
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,168.59
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,202.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,210.1
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,210.1
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,211.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,252.61
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,259.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,TRUE,278.6
16/04/22,17/04/22,ATL,DFW,FALSE,FALSE,FALSE,318.6
